TotalCount NumWorkers Duration Pi_Error
5045040 7 450 1.2968257943181887E-4
5045040 7 451 2.67479066957346E-4
5045040 7 393 2.4433645813718634E-4
5045040 7 434 4.3505574775749026E-4
5045040 7 459 1.4893888985041342E-4
5045040 7 469 3.020543760983013E-4
5045040 7 413 3.063447429260627E-4
5045040 7 409 3.1004142394438177E-5
5045040 7 378 5.732693935268372E-5
5045040 7 482 1.3102029898164408E-4
5765760 8 503 6.729314855000454E-4
5765760 8 552 4.219322727550591E-4
5765760 8 487 2.0309201772672117E-4
5765760 8 585 3.528132012879182E-4
5765760 8 606 4.8733452373599845E-5
5765760 8 474 3.3594840863491603E-4
5765760 8 588 1.9373536702212466E-4
5765760 8 504 1.2226907792814632E-4
5765760 8 539 7.577612240079049E-6
5765760 8 516 3.6367100929033874E-5
5765760 8 532 8.207843573316557E-5
6486480 9 533 4.8258628222144534E-4
6486480 9 572 2.73928638005466E-4
6486480 9 551 2.3447408815845683E-4
6486480 9 565 9.432210511975983E-5
6486480 9 560 5.093345153104086E-5
6486480 9 547 1.445726760692688E-4
6486480 9 583 2.7583065577496233E-5
6486480 9 569 2.3485839285774694E-4
6486480 9 514 2.821728723019847E-4
6486480 9 545 4.6020079695915087E-4
6486480 9 623 1.0197746553784467E-4
7207200 10 595 1.0111378384970123E-4
7207200 10 647 5.800821595702432E-5
7207200 10 665 8.256425668285228E-5
7207200 10 548 2.7623659737385423E-4
7207200 10 676 8.16809458653429E-5
7207200 10 597 1.2271717729745167E-4
7207200 10 622 2.3149046050840397E-4
7207200 10 602 2.967294083391673E-4
7207200 10 604 2.5710647421504527E-4
7207200 10 649 1.313736233086761E-4
7207200 10 638 6.666466196824877E-5
7927920 11 726 9.873930365228583E-5
7927920 11 729 2.6209026528100015E-5
7927920 11 640 3.361708224769655E-4
7927920 11 637 3.8820585972439896E-4
7927920 11 756 2.9740393659977485E-4
7927920 11 710 1.0056773716249561E-4
7927920 11 749 2.7218942781020896E-4
7927920 11 660 5.865062382431672E-5
7927920 11 591 1.4386845632664402E-4
7927920 11 676 4.5963068446175235E-5
7927920 11 701 1.1672672393534228E-4
8648640 12 782 2.037545008398532E-4
8648640 12 758 1.0879031007536117E-4
8648640 12 733 3.290291405646614E-4
8648640 12 716 2.3256379250163855E-5
8648640 12 680 2.713195004898789E-4
8648640 12 738 1.4089221432983485E-4
8648640 12 700 2.4821447865241904E-4
8648640 12 665 3.5243687722767063E-4
8648640 12 836 3.738935232974859E-5
8648640 12 758 5.755828266193718E-5
8648640 12 766 1.1173467946682353E-4
9369360 13 847 5.220179526891244E-5
9369360 13 761 1.7895385096465026E-4
9369360 13 923 1.8221530629068653E-4
9369360 13 887 5.6785170209866735E-5
9369360 13 798 1.9964675480054774E-4
9369360 13 932 1.348253301954002E-4
9369360 13 749 9.745448791784238E-5
9369360 13 908 3.1801040434157517E-4
9369360 13 791 1.7406166797559586E-4
9369360 13 751 1.3003202107396487E-4
9369360 13 937 1.2248967524756105E-5
10090080 14 860 2.3761128288740645E-5
10090080 14 864 1.7644771245157634E-4
10090080 14 917 3.5244168915938586E-5
10090080 14 971 2.5511271551278004E-4
10090080 14 899 1.813690155775587E-4
10090080 14 1053 1.820888886467865E-5
10090080 14 927 1.4356317799211522E-4
10090080 14 923 1.1840157301778973E-4
10090080 14 916 2.929185530980822E-4
10090080 14 872 1.106655537150305E-5
10090080 14 942 1.8697159530788165E-4
10810800 15 1077 2.0027186707143968E-4
10810800 15 1053 1.0829804516512382E-4
10810800 15 910 3.2947907385974854E-4
10810800 15 879 1.2489601064717622E-4
10810800 15 961 2.702300838150166E-4
10810800 15 974 3.780022814328293E-4
10810800 15 1063 8.568528823790132E-5
10810800 15 932 1.7118731902285257E-6
10810800 15 942 1.8354784892728326E-4
10810800 15 959 7.956099990343345E-5
10810800 15 1015 1.7082817315568525E-4
11531520 16 1095 6.168039981026719E-5
11531520 16 1118 9.123406170720474E-6
11531520 16 1060 1.394936388687312E-4
11531520 16 1095 1.690845512540234E-4
11531520 16 1068 2.8247957744691394E-4
11531520 16 1105 2.591822546360227E-4
11531520 16 1055 4.663558918222709E-5
11531520 16 1119 2.1548689590237445E-4
11531520 16 1024 1.269349864508752E-4
11531520 16 1208 1.3165425536368878E-4
11531520 16 1057 2.942119725094352E-4
